Dates,CLOSE
2007.2.13,82.69
2007.2.14,83.1
2007.2.15,84.03
2007.2.16,83.92
2007.2.20,83.51
2007.2.21,82.9
2007.2.22,82.46
2007.2.23,82.78
2007.2.26,83.08
2007.2.27,84.8
2007.2.28,84.62
2007.3.1,85.29
2007.3.2,85.85
2007.3.5,86.45
2007.3.6,85.81
2007.3.7,86.32
2007.3.8,85.52
2007.3.9,84.62
2007.3.12,85.01
2007.3.13,85.99
2007.3.14,85.5
2007.3.15,85.11
2007.3.16,85.6
2007.3.19,85.15
2007.3.20,85.33
2007.3.21,85.1299
2007.3.22,84.76
2007.3.23,84.64
2007.3.26,84.72
2007.3.27,84.83
2007.3.28,85.57
2007.3.29,84.78
2007.3.30,84.92
2007.4.2,84.91
2007.4.3,84.13
2007.4.4,84.31
2007.4.5,84.25
2007.4.9,83.87
2007.4.10,83.97
2007.4.11,83.79
2007.4.12,83.97
2007.4.13,83.9135
2007.4.16,83.54
2007.4.17,84.19
2007.4.18,84.31
2007.4.19,84.49
2007.4.20,84.225
2007.4.23,84.31
2007.4.24,84.36
2007.4.25,84.3
2007.4.26,83.65
2007.4.27,83.73
2007.4.30,83.7166
2007.5.1,83.51
2007.5.2,83.38
2007.5.3,83.11
2007.5.4,83.23
2007.5.7,83.33
2007.5.8,83.37
2007.5.9,83.25
2007.5.10,83.45
2007.5.11,83.32
2007.5.14,83.14
2007.5.15,83.23
2007.5.16,82.85
2007.5.17,82.47
2007.5.18,82.61
2007.5.21,82.4
2007.5.22,82.25
2007.5.23,82.24
2007.5.24,82.45
2007.5.25,82.13
2007.5.29,82.2
2007.5.30,82.26
2007.5.31,82.17
2007.6.1,82
2007.6.4,82.16
2007.6.5,82.38
2007.6.6,82.64
2007.6.7,82.72
2007.6.8,82.17
2007.6.11,82.11
2007.6.12,82.19
2007.6.13,81.51
2007.6.14,81.3
2007.6.15,80.98
2007.6.18,80.8545
2007.6.19,81.08
2007.6.20,80.92
2007.6.21,80.8701
2007.6.22,80.8
2007.6.25,80.94
2007.6.26,81.16
2007.6.27,81.58
2007.6.28,81.25
2007.6.29,81.24
2007.7.2,81.72
2007.7.3,81.81
2007.7.5,81.37
2007.7.6,81.08
2007.7.9,81.09
2007.7.10,82.09
2007.7.11,81.72
2007.7.12,81.68
2007.7.13,81.99
2007.7.16,82.08
2007.7.17,81.78
2007.7.18,82.05
2007.7.19,81.88
2007.7.20,82.5
2007.7.23,82.53
2007.7.24,83.22
2007.7.25,82.96
2007.7.26,84.21
2007.7.27,84.16
2007.7.30,83.97
2007.7.31,84.34
2007.8.1,84.02
2007.8.2,83.85
2007.8.3,84.65
2007.8.6,83.91
2007.8.7,84.1401
2007.8.8,83.52
2007.8.9,84.52
2007.8.10,84.32
2007.8.13,84.56
2007.8.14,84.88
2007.8.15,85.61
2007.8.16,87.54
2007.8.17,87.52
2007.8.20,86.94
2007.8.21,87.3
2007.8.22,86.88
2007.8.23,86.06
2007.8.24,85.87
2007.8.27,86.12
2007.8.28,87.38
2007.8.29,86.08
2007.8.30,86.29
2007.8.31,86.32
2007.9.4,85.95
2007.9.5,86.78
2007.9.6,86.62
2007.9.7,88.13
2007.9.10,87.98
2007.9.11,87.54
2007.9.12,87.53
2007.9.13,86.72
2007.9.14,86.58
2007.9.17,86.77
2007.9.18,85.8999
2007.9.19,86.12
2007.9.20,87.26
2007.9.21,86.61
2007.9.24,87.1
2007.9.25,87.03
2007.9.26,86.5
2007.9.27,86.43
2007.9.28,87
2007.10.1,86.36
2007.10.2,86.21
2007.10.3,85.61
2007.10.4,85.75
2007.10.5,85.5
2007.10.8,85.07
2007.10.9,85.27
2007.10.10,85.25
2007.10.11,85.31
2007.10.12,84.94
2007.10.15,85.28
2007.10.16,85.66
2007.10.17,85.68
2007.10.18,86.4
2007.10.19,87.17
2007.10.22,87.36
2007.10.23,86.91
2007.10.24,87.5
2007.10.25,87.6
2007.10.26,87.48
2007.10.29,87.22
2007.10.30,87.08
2007.10.31,86.61
2007.11.1,87.35
2007.11.2,87.18
2007.11.5,87.4
2007.11.6,87.22
2007.11.7,88.68
2007.11.8,88.66
2007.11.9,90.3
2007.11.12,91.07
2007.11.13,90
2007.11.14,89.61
2007.11.15,90.54
2007.11.16,90.11
2007.11.19,90.97
2007.11.20,90.86
2007.11.21,92.17
2007.11.23,92.3
2007.11.26,93.14
2007.11.27,91.79
2007.11.28,90.6
2007.11.29,90.89
2007.11.30,89.85
2007.12.3,90.42
2007.12.4,91
2007.12.5,90.07
2007.12.6,89.79
2007.12.7,89.37
2007.12.10,89.51
2007.12.11,90.22
2007.12.12,89.12
2007.12.13,88.99
2007.12.14,88.04
2007.12.17,88.42
2007.12.18,88.04
2007.12.19,88.1
2007.12.20,88.4
2007.12.21,87.48
2007.12.24,87.18
2007.12.26,87.4
2007.12.27,87.83
2007.12.28,88.7
2007.12.31,89.6
2008.1.2,91.19
2008.1.3,91.4
2008.1.4,92.11
2008.1.7,91.51
2008.1.8,91.59
2008.1.9,90.85
2008.1.10,91.25
2008.1.11,91.6
2008.1.14,92.39
2008.1.15,93.57
2008.1.16,92.85
2008.1.17,93.69
2008.1.18,93.64
2008.1.22,93.6
2008.1.23,93.74
2008.1.24,93.5
2008.1.25,93.37
2008.1.28,93.51
2008.1.29,93.36
2008.1.30,93.92
2008.1.31,93.91
2008.2.1,93.77
