Dates,CLOSE
2004.11.18,44.38
2004.11.19,44.78
2004.11.22,44.95
2004.11.23,44.75
2004.11.24,45.05
2004.11.26,45.29
2004.11.29,45.4
2004.11.30,45.12
2004.12.1,45.38
2004.12.2,44.95
2004.12.3,45.6
2004.12.6,45.17
2004.12.7,45.11
2004.12.8,44.01
2004.12.9,43.78
2004.12.10,43.44
2004.12.13,43.91
2004.12.14,43.55
2004.12.15,43.99
2004.12.16,43.68
2004.12.17,44.19
2004.12.20,44.34
2004.12.21,44.22
2004.12.22,44.02
2004.12.23,44.27
2004.12.27,44.48
2004.12.28,44.37
2004.12.29,43.66
2004.12.30,43.8
2004.12.31,43.8
2005.1.3,43.02
2005.1.4,42.74
2005.1.5,42.67
2005.1.6,42.16
2005.1.7,41.84
2005.1.10,41.95
2005.1.11,42.21
2005.1.12,42.6
2005.1.13,42.6
2005.1.14,42.32
2005.1.18,42.32
2005.1.19,42.26
2005.1.20,42.25
2005.1.21,42.74
2005.1.24,42.77
2005.1.25,42.24
2005.1.26,42.69
2005.1.27,42.62
2005.1.28,42.69
2005.1.31,42.22
2005.2.1,42.1
2005.2.2,42.16
2005.2.3,41.68
2005.2.4,41.47
2005.2.7,41.27
2005.2.8,41.26
2005.2.9,41.31
2005.2.10,41.75
2005.2.11,42.08
2005.2.14,42.55
2005.2.15,42.58
2005.2.16,42.52
2005.2.17,42.73
2005.2.18,42.75
2005.2.22,43.57
2005.2.23,43.42
2005.2.24,43.33
2005.2.25,43.5
2005.2.28,43.52
2005.3.1,43.22
2005.3.2,43.25
2005.3.3,42.97
2005.3.4,43.38
2005.3.7,43.47
2005.3.8,44.03
2005.3.9,44.02
2005.3.10,44.2
2005.3.11,44.43
2005.3.14,44.03
2005.3.15,44.06
2005.3.16,44.31
2005.3.17,43.82
2005.3.18,43.89
2005.3.21,43.09
2005.3.22,42.65
2005.3.23,42.42
2005.3.24,42.39
2005.3.28,42.54
2005.3.29,42.56
2005.3.30,42.61
2005.3.31,42.82
2005.4.1,42.62
2005.4.4,42.4
2005.4.5,42.45
2005.4.6,42.63
2005.4.7,42.57
2005.4.8,42.69
2005.4.11,42.78
2005.4.12,42.84
2005.4.13,42.9
2005.4.14,42.31
2005.4.15,42.4
2005.4.18,42.69
2005.4.19,43.28
2005.4.20,43.4
2005.4.21,43.19
2005.4.22,43.39
2005.4.25,43.44
2005.4.26,43.64
2005.4.27,43.2
2005.4.28,43
2005.4.29,43.35
2005.5.2,42.88
2005.5.3,42.76
2005.5.4,42.9
2005.5.5,42.91
2005.5.6,42.52
2005.5.9,42.55
2005.5.10,42.64
2005.5.11,42.69
2005.5.12,42.16
2005.5.13,41.95
2005.5.16,41.88
2005.5.17,41.86
2005.5.18,42.05
2005.5.19,41.98
2005.5.20,41.65
2005.5.23,41.62
2005.5.24,41.73
2005.5.25,41.87
2005.5.26,41.69
2005.5.27,41.88
2005.5.31,41.65
2005.6.1,41.53
2005.6.2,42.1
2005.6.3,42.17
2005.6.6,42.48
2005.6.7,42.38
2005.6.8,42.34
2005.6.9,42.27
2005.6.10,42.62
2005.6.13,42.78
2005.6.14,42.6
2005.6.15,42.74
2005.6.16,43.46
2005.6.17,43.63
2005.6.20,43.66
2005.6.21,43.81
2005.6.22,43.72
2005.6.23,44.02
2005.6.24,43.9
2005.6.27,43.91
2005.6.28,43.45
2005.6.29,43.63
2005.6.30,43.44
2005.7.1,42.7
2005.7.5,42.28
2005.7.6,42.25
2005.7.7,42.36
2005.7.8,42.26
2005.7.11,42.54
2005.7.12,42.64
2005.7.13,42.35
2005.7.14,41.9
2005.7.15,42.05
2005.7.18,42.01
2005.7.19,41.89
2005.7.20,42.2
2005.7.21,42.46
2005.7.22,42.45
2005.7.25,42.51
2005.7.26,42.25
2005.7.27,42.44
2005.7.28,42.75
2005.7.29,42.82
2005.8.1,43.13
2005.8.2,43.14
2005.8.3,43.53
2005.8.4,43.68
2005.8.5,43.6
2005.8.8,43.35
2005.8.9,43.34
2005.8.10,43.65
2005.8.11,44.45
2005.8.12,44.49
2005.8.15,44.13
2005.8.16,44.55
2005.8.17,43.91
2005.8.18,43.83
2005.8.19,43.6
2005.8.22,43.7
2005.8.23,43.76
2005.8.24,43.59
2005.8.25,43.73
2005.8.26,43.61
2005.8.29,43.57
2005.8.30,43.01
2005.8.31,43.4
2005.9.1,44.22
2005.9.2,44.25
2005.9.6,44.27
2005.9.7,44.33
2005.9.8,44.6
2005.9.9,44.84
2005.9.12,44.89
2005.9.13,44.56
2005.9.14,44.96
2005.9.15,45.42
2005.9.16,45.82
2005.9.19,46.25
2005.9.20,46.23
2005.9.21,47.06
2005.9.22,46.36
2005.9.23,46.28
2005.9.26,46.57
2005.9.27,46.25
2005.9.28,46.8
2005.9.29,47.1
2005.9.30,46.7
2005.10.3,46.42
2005.10.4,46.45
2005.10.5,46.36
2005.10.6,47.21
2005.10.7,47.36
2005.10.10,47.37
2005.10.11,47.39
2005.10.12,46.85
2005.10.13,47.02
2005.10.14,46.8
2005.10.17,47.26
2005.10.18,47
2005.10.19,46.34
2005.10.20,45.98
2005.10.21,46.52
2005.10.24,46.39
2005.10.25,47.06
2005.10.26,46.93
2005.10.27,47.18
2005.10.28,47.22
2005.10.31,46.4
2005.11.1,45.73
2005.11.2,46.13
2005.11.3,45.96
2005.11.4,45.51
2005.11.7,45.77
2005.11.8,45.91
2005.11.9,46.56
2005.11.10,46.48
2005.11.11,46.8
2005.11.14,46.62
2005.11.15,46.66
2005.11.16,47.78
2005.11.17,48.48
2005.11.18,48.46
2005.11.21,48.99
2005.11.22,49.32
2005.11.23,49.15
2005.11.25,49.42
2005.11.28,49.74
2005.11.29,49.8
2005.11.30,49.1
2005.12.1,50.17
2005.12.2,50.32
2005.12.5,50.78
2005.12.6,50.89
2005.12.7,51.32
2005.12.8,51.9
2005.12.9,52.4
2005.12.12,52.56
2005.12.13,51.65
2005.12.14,50.35
2005.12.15,50.24
2005.12.16,50.09
2005.12.19,50.22
2005.12.20,49.04
2005.12.21,49.37
2005.12.22,50.14
2005.12.23,50.12
2005.12.27,50.64
2005.12.28,51.47
2005.12.29,51.47
2005.12.30,51.58
2006.1.3,53.12
2006.1.4,53.3
2006.1.5,52.34
2006.1.6,53.72
2006.1.9,54.6
2006.1.10,54.06
2006.1.11,54.53
2006.1.12,54.43
2006.1.13,55.44
2006.1.17,55.26
2006.1.18,54.07
2006.1.19,55.59
2006.1.20,55.2
2006.1.23,55.77
2006.1.24,55.73
2006.1.25,56.14
2006.1.26,55.88
2006.1.27,55.63
2006.1.30,56.68
