Dates,CLOSE,OPEN,HIGH,LOW,VOLUME
2004.1.2,111.23,111.74,112.19,111,38075602
2004.1.5,112.44,111.78,112.52,112,27965000
2004.1.6,112.55,112.16,112.73,112,20497900
2004.1.7,112.93,112.35,113.06,112,30178000
2004.1.8,113.38,113.25,113.41,113,37044301
2004.1.9,112.39,112.83,113.5,112,54089898
2004.1.12,113.22,112.55,113.25,112,33564301
2004.1.13,112.56,113.09,113.23,112,54286000
2004.1.14,113.5,112.76,113.66,113,30138500
2004.1.15,113.78,113.57,114.06,113,38424102
2004.1.16,114.23,114.04,114.31,114,31923801
2004.1.20,114.2,114.53,114.65,114,29875699
2004.1.26,115.87,114.44,115.93,114,30471600
2004.1.27,114.68,115.85,116.5,115,35342301
2004.1.28,113.37,114.98,115.28,113,52876801
2004.1.29,113.48,113.56,113.85,113,60118199
2004.1.30,113.48,113.52,113.72,113,30992801
2004.2.2,113.97,113.7,114.68,113,38832898
2004.2.3,113.78,113.74,114.14,113,25150600
2004.2.4,112.85,113.19,113.73,113,39429102
2004.2.5,113.18,113.08,113.54,113,35985699
2004.2.6,114.45,113.42,114.7,113,37230602
2004.2.9,114.48,114.67,114.87,114,24858199
2004.2.10,114.85,114.28,115.14,114,27910400
2004.2.11,116.07,114.8,116.39,114,42975398
2004.2.12,115.65,115.98,116.27,116,27826000
2004.2.13,115.13,115.82,116.2,115,44740898
2004.2.17,116.17,115.85,116.43,116,23984900
2004.2.18,115.66,116.2,116.6,115,28629000
2004.2.19,115.23,116.33,116.39,115,51182699
2004.2.20,114.88,115.48,115.562,114,46728801
2004.2.23,114.59,115.22,115.26,114,36360301
2004.2.24,114.39,114.27,114.99,113,43957898
2004.2.25,114.87,114.46,115.06,114,31217199
2004.2.26,114.94,114.61,115.29,114,29685600
2004.2.27,115.02,115.19,115.74,115,39274602
2004.3.2,115.48,115.94,116.97,115,38606898
2004.3.3,115.69,115.25,115.87,115,31348500
2004.3.4,115.99,115.72,116.1,116,21072801
2004.3.5,116.38,115.42,116.95,115,55911301
2004.3.8,114.96,116.34,116.62,115,39283602
2004.3.9,114.5,115.1,115.21,114,39747898
2004.3.10,112.58,114.72,114.77,113,67758797
2004.3.11,111.12,112.4,113.27,111,89331398
2004.3.12,112.58,111.73,112.71,112,54025199
2004.3.15,111.2,112.27,112.35,111,57684301
2004.3.16,111.79,111.78,112.06,111,60105398
2004.3.17,113.04,112.18,113.26,112,41863602
2004.3.18,113.07,112.71,113.27,112,60020102
2004.3.19,111.06,112.41,112.57,111,48639301
2004.3.22,109.65,110.54,110.57,109,62758000
2004.3.23,109.46,110.25,110.4,109,54092801
2004.3.24,109.55,109.58,110.14,109,51593699
2004.3.25,111,110.08,111.3,110,49976602
2004.3.26,111.03,110.955,111.79,111,37413102
2004.3.29,112.59,111.63,112.74,112,44116301
2004.3.30,112.97,112.3,113.07,112,39061301
2004.3.31,113.1,112.99,113.4,112,48596199
2004.4.1,113.78,113.07,113.87,113,45113102
2004.4.2,114.64,114.81,114.84,114,50995500
2004.4.6,114.9,114.83,115.18,115,28477900
2004.4.7,114.63,114.98,114.98,114,45896898
2004.4.8,114.37,115.41,115.41,114,46937801
2004.4.12,114.82,114.58,115.08,115,23086699
2004.4.13,113.21,115.26,115.3,113,56231000
2004.4.14,113.39,112.61,113.64,113,62333301
2004.4.16,113.83,113.36,114.05,113,47059301
2004.4.19,113.83,113.57,113.99,113,28277801
2004.4.20,111.92,114.08,114.32,112,53332898
2004.4.21,112.67,112.2,112.95,112,50300000
2004.4.22,114.25,112.48,114.67,112,62140500
2004.4.23,114.36,114.42,114.57,114,29420400
2004.4.26,114.2,114.5,114.94,114,35517699
2004.4.27,114.3,114.23,115.12,114,43487000
2004.4.28,112.82,113.89,114.01,113,50173500
2004.4.29,111.83,112.72,113.32,111,69700305
2004.4.30,110.96,112.12,112.38,111,48683398
2004.5.3,112.15,111.37,112.29,111,33758898
2004.5.4,112.06,112.25,113.26,112,51191801
2004.5.6,111.81,112.02,112.59,111,55006898
2004.5.7,109.96,111.22,112.23,110,60953801
2004.5.10,108.83,109.44,109.75,108,75304508
2004.5.11,109.75,109.46,110.05,109,48317898
2004.5.12,110.45,109.61,110.54,108,90895000
2004.5.13,109.99,109.76,110.81,110,57499801
