Dates,CLOSE
2000.1.21,2.3944
2000.1.24,2.3234
2000.1.25,2.3559
2000.1.26,2.344
2000.1.27,2.3719
2000.1.28,2.3397
2000.1.31,2.3663
2000.2.1,2.3068
2000.2.2,2.302
2000.2.3,2.1912
2000.2.4,2.2717
2000.2.7,2.3399
2000.2.8,2.3128
2000.2.9,2.3454
2000.2.10,2.3512
2000.2.11,2.2876
2000.2.14,2.2398
2000.2.15,2.2494
2000.2.16,2.2448
2000.2.17,2.2703
2000.2.18,2.2141
2000.2.21,2.2086
2000.2.22,2.0975
2000.2.23,2.1436
2000.2.24,2.0938
2000.2.25,2.0515
2000.2.28,2.1434
2000.2.29,2.1226
2000.3.1,2.1148
2000.3.2,2.1283
2000.3.3,2.1539
2000.3.6,2.1793
2000.3.7,2.1525
2000.3.8,2.155
2000.3.9,2.1304
2000.3.10,2.1728
2000.3.13,2.1775
2000.3.14,2.1221
2000.3.15,2.1259
2000.3.16,2.0832
2000.3.17,2.0305
2000.3.20,2.0199
2000.3.21,1.9871
2000.3.22,1.9971
2000.3.23,2.0062
2000.3.24,2.0998
2000.3.27,2.0915
2000.3.28,2.0849
2000.3.29,2.071
2000.3.30,2.0465
2000.3.31,2.0041
2000.4.3,1.9724
2000.4.4,1.9061
2000.4.5,1.8873
2000.4.6,1.9335
2000.4.7,1.8608
2000.4.10,1.7791
2000.4.11,1.8894
2000.4.12,1.9101
2000.4.13,1.8773
2000.4.14,1.8466
2000.4.17,2.0426
2000.4.18,2.0846
2000.4.19,2.0236
2000.4.20,2.0216
2000.4.21,2.0154
2000.4.24,2.0753
2000.4.25,2.1421
2000.4.26,2.1365
2000.4.27,2.247
2000.4.28,2.246
2000.5.1,2.316
2000.5.2,2.3335
2000.5.3,2.4212
2000.5.4,2.4221
2000.5.5,2.4267
2000.5.8,2.4561
2000.5.9,2.394
2000.5.10,2.2811
2000.5.11,2.2564
2000.5.12,2.3155
2000.5.15,2.2421
2000.5.16,2.2302
2000.5.17,2.2903
2000.5.18,2.3203
2000.5.19,2.2504
2000.5.22,2.2137
2000.5.23,2.2033
2000.5.24,2.272
2000.5.25,2.2036
2000.5.26,2.1407
2000.5.30,2.1743
2000.5.31,2.1023
2000.6.1,2.0485
2000.6.2,2.0495
2000.6.5,2.0117
2000.6.6,2.0117
2000.6.7,2.0308
2000.6.8,2.0137
2000.6.9,2.0217
2000.6.12,1.9861
2000.6.13,2.0386
2000.6.14,1.9643
2000.6.15,1.9747
2000.6.16,1.9044
2000.6.19,1.9297
2000.6.20,1.9448
2000.6.21,2.0302
2000.6.22,2.0256
2000.6.23,2.0949
2000.6.26,2.0134
2000.6.27,1.9964
2000.6.28,2.0013
2000.6.29,1.9409
2000.6.30,1.9648
2000.7.3,1.952
2000.7.5,1.9536
2000.7.6,2.0152
2000.7.7,1.9842
2000.7.10,2.0043
2000.7.11,2.015
2000.7.12,2.037
2000.7.13,1.9784
2000.7.14,2.0501
2000.7.17,2.0857
2000.7.18,2.105
2000.7.19,2.112
2000.7.20,1.984
2000.7.21,1.9798
2000.7.24,2.006
2000.7.25,2.0075
2000.7.26,2.0095
2000.7.27,1.9878
2000.7.28,2.0159
2000.7.31,2.0197
2000.8.1,1.9808
2000.8.2,1.9861
2000.8.3,1.9628
2000.8.4,1.91
2000.8.7,1.961
2000.8.8,1.913
2000.8.9,1.9108
2000.8.10,1.7655
2000.8.11,1.7809
2000.8.14,1.7582
2000.8.15,1.7776
2000.8.16,1.8052
2000.8.17,1.7741
2000.8.18,1.7426
2000.8.21,1.753
2000.8.22,1.7548
2000.8.23,1.7249
2000.8.24,1.7325
2000.8.25,1.741
2000.8.28,1.785
