Dates,CLOSE
2006.4.10,68.02
2006.4.11,68.2
2006.4.12,67.84
2006.4.13,68.82
2006.4.17,69.79
2006.4.18,70.75
2006.4.19,71.85
2006.4.20,71.09
2006.4.21,72.81
2006.4.24,71.01
2006.4.25,70.64
2006.4.26,69.54
2006.4.27,68.7
2006.4.28,69.62
2006.5.2,72.34
2006.5.3,70.22
2006.5.4,68.32
2006.5.8,67.88
2006.5.9,68.4
2006.5.10,69.77
2006.5.11,70.3
2006.5.12,69.11
2006.5.15,66.63
2006.5.16,66.7
2006.5.17,65.7
2006.5.18,66.74
2006.5.19,65.57
2006.5.22,66.28
2006.5.23,67.77
2006.5.24,66.1
2006.5.25,67.8
2006.5.26,67.75
2006.5.30,68.32
2006.6.1,66.82
2006.6.2,68.9
2006.6.5,68.74
2006.6.7,67.28
2006.6.8,67.12
2006.6.9,68.07
2006.6.12,67.08
2006.6.13,65.18
2006.6.14,65.79
2006.6.15,66.16
2006.6.16,66.25
2006.6.19,65.54
2006.6.20,65.29
2006.6.21,66.35
2006.6.22,67
2006.6.23,66.89
2006.6.26,67.7
2006.6.27,68.08
2006.6.28,68.31
2006.6.29,69.51
2006.6.30,69.77
2006.7.3,69.93
2006.7.5,71
2006.7.6,70.77
2006.7.7,69.85
2006.7.10,69.56
2006.7.11,70.08
2006.7.12,71.14
2006.7.13,73.25
2006.7.14,73.22
2006.7.18,70.75
2006.7.19,69.85
2006.7.20,69.1
2006.7.21,69.52
2006.7.24,70.17
2006.7.25,69
2006.7.26,69.17
2006.7.27,69.68
2006.7.28,68.5
2006.7.31,69.52
2006.8.1,70.15
2006.8.2,71.12
2006.8.3,70.56
2006.8.4,69.81
2006.8.7,72
2006.8.8,71.3
2006.8.9,71.17
2006.8.10,69.6
2006.8.11,69.73
2006.8.14,68.59
2006.8.16,67.18
2006.8.17,66.05
2006.8.18,66.18
2006.8.21,67.42
2006.8.22,67.05
2006.8.23,65.95
2006.8.24,66.75
2006.8.25,66.55
2006.8.28,64.88
2006.8.29,64.19
2006.8.30,64.85
2006.8.31,64.8
2006.9.1,63.75
2006.9.5,63.31
2006.9.6,62.2
2006.9.7,61.94
2006.9.8,60.9
2006.9.11,60.04
2006.9.12,58.76
2006.9.13,59
2006.9.14,58.15
2006.9.15,58.06
2006.9.18,58.32
2006.9.19,56.25
2006.9.20,55.05
2006.9.21,55.89
2006.9.22,54.64
2006.9.25,55.67
2006.9.26,55.42
2006.9.27,57.16
2006.9.28,56.65
2006.9.29,56.81
2006.10.2,55.31
2006.10.4,54.04
2006.10.9,54.6
2006.10.10,53.67
2006.10.11,52.65
2006.10.12,53.43
2006.10.13,53.65
2006.10.16,54.72
2006.10.17,53.99
2006.10.18,52.85
2006.10.19,53.9
2006.10.20,52.75
2006.10.23,52.37
2006.10.24,52.84
2006.10.25,54.7
2006.10.26,53.65
2006.10.27,54
2006.10.30,51.98
2006.10.31,52.1
2006.11.1,52.12
2006.11.2,51.5
2006.11.3,52.68
2006.11.6,53.45
2006.11.7,52.6
2006.11.8,53.4
2006.11.9,54.5
2006.11.10,53.3
2006.11.13,52.35
2006.11.14,52.14
2006.11.15,52.5
2006.11.16,50.59
2006.11.17,50.94
2006.11.20,50.97
2006.11.21,51.98
2006.11.22,51.31
2006.11.24,51.8
2006.11.27,52.3
2006.11.28,52.71
2006.11.29,54.14
2006.11.30,54.58
2006.12.1,55.05
2006.12.4,54.2
2006.12.5,54.3
2006.12.6,53.89
2006.12.7,53.86
2006.12.8,53.58
2006.12.11,53
2006.12.12,52.55
2006.12.13,52.88
2006.12.14,53.73
2006.12.15,54.3
2006.12.18,53.16
2006.12.19,54
2006.12.20,54.05
2006.12.21,53.34
2006.12.22,52.92
2006.12.26,51.64
2006.12.27,51.35
2006.12.28,51.3
2007.1.3,49.4
2007.1.4,47.35
2007.1.5,47.83
2007.1.8,47.49
2007.1.9,47.3
2007.1.10,45.28
2007.1.11,44.34
2007.1.12,44.63
2007.1.16,43.4
2007.1.17,44.22
2007.1.18,43.23
2007.1.19,44.43
2007.1.22,43.84
2007.1.23,45.65
2007.1.24,46.1
2007.1.25,45.27
2007.1.26,46.28
2007.1.29,44.97
2007.1.30,47.36
2007.1.31,48.24
2007.2.1,47.84
2007.2.2,49.34
2007.2.5,49.1
2007.2.6,49.21
2007.2.7,48.25
2007.2.8,49.75
2007.2.9,49.99
2007.2.12,48.37
2007.2.13,49.36
2007.2.14,48.45
2007.2.15,48.35
2007.2.16,49.35
2007.2.20,48.67
2007.2.21,49.86
2007.2.22,50.33
2007.2.23,50.46
2007.2.26,50.9
2007.2.27,49.95
2007.2.28,51.18
2007.3.2,51.01
2007.3.5,49.62
2007.3.6,50.32
2007.3.7,51.29
2007.3.8,51.29
2007.3.9,50.11
2007.3.12,49.35
2007.3.13,48.94
2007.3.14,49.14
2007.3.15,48.67
2007.3.16,48.42
2007.3.19,48.7
2007.3.20,48.46
2007.3.21,48.8
2007.3.22,50.18
2007.3.23,50.57
2007.3.26,51.17
2007.3.27,51.2
2007.3.28,52
2007.3.29,53.62
2007.3.30,53.35
2007.4.2,53.56
2007.4.3,52.46
2007.4.4,52.33
2007.4.5,52.01
2007.4.9,50.35
2007.4.10,50.61
2007.4.11,50.46
2007.4.12,51.65
2007.4.13,51.52
2007.4.16,51.2
2007.4.17,50.29
2007.4.18,50.14
2007.4.19,49.22
2007.4.20,50.05
2007.4.23,51.22
2007.4.24,50.39
2007.4.25,51.32
2007.4.26,50.94
2007.4.27,51.84
2007.4.30,51.24
2007.5.2,49.59
2007.5.3,49.28
2007.5.4,48.3
2007.5.7,48.06
2007.5.8,48.64
2007.5.9,48.01
2007.5.10,48.15
2007.5.11,48.57
2007.5.14,48.56
2007.5.15,48.99
2007.5.16,48.53
2007.5.17,50.16
2007.5.18,50.1
2007.5.21,50.82
2007.5.22,49.92
2007.5.23,50.17
2007.5.25,49.5
2007.5.29,48.4
2007.5.30,48.21
2007.5.31,48.96
2007.6.1,49.46
2007.6.4,50.35
2007.6.5,50.02
2007.6.7,50.65
2007.6.8,49.06
2007.6.11,49.84
2007.6.12,49.56
2007.6.13,50.09
2007.6.14,51.1
2007.6.15,51.53
2007.6.18,52.14
2007.6.19,52.12
2007.6.20,51.55
2007.6.21,51.6
2007.6.22,51.89
2007.6.25,51.96
2007.6.26,51.12
2007.6.27,51.88
2007.6.28,52.47
2007.6.29,53
2007.7.2,53.53
2007.7.3,53.54
2007.7.5,54.15
2007.7.6,54.68
2007.7.9,54.35
2007.7.10,54.72
2007.7.11,54.66
2007.7.12,54.74
2007.7.13,55.54
2007.7.16,55.76
2007.7.18,56.58
2007.7.19,57.08
2007.7.20,57
2007.7.23,56.38
2007.7.24,55.16
2007.7.25,57.44
2007.7.26,56.22
2007.7.27,57.74
2007.7.30,57.5
2007.7.31,58.53
2007.8.1,57.76
2007.8.2,57.7
