Dates,CLOSE
2007.2.20,25.07
2007.2.21,25.12
2007.2.22,25.12
2007.2.23,25.04
2007.2.26,25.04
2007.2.27,24.9
2007.2.28,24.9401
2007.3.1,24.97
2007.3.2,24.96
2007.3.5,25.12
2007.3.6,25.1
2007.3.7,25
2007.3.8,25.12
2007.3.9,25.16
2007.3.12,25.08
2007.3.13,25.02
2007.3.14,24.96
2007.3.16,24.87
2007.3.19,25
2007.3.20,24.85
2007.3.21,24.78
2007.3.22,24.776
2007.3.23,24.93
2007.3.26,24.85
2007.3.27,24.84
2007.3.28,24.84
2007.3.29,24.87
2007.3.30,24.79
2007.4.2,24.8455
2007.4.3,24.88
2007.4.4,24.85
2007.4.5,24.77
2007.4.9,24.93
2007.4.10,24.85
2007.4.11,24.847
2007.4.12,24.7
2007.4.13,24.69
2007.4.16,24.59
2007.4.17,24.58
2007.4.18,24.55
2007.4.19,24.55
2007.4.20,24.46
2007.4.23,24.59
2007.4.24,24.56
2007.4.25,24.52
2007.4.26,24.62
2007.4.27,24.54
2007.4.30,24.49
2007.5.1,24.64
2007.5.2,24.66
2007.5.3,24.69
2007.5.4,24.6
2007.5.7,24.66
2007.5.8,24.73
2007.5.9,24.76
2007.5.10,24.79
2007.5.11,24.81
2007.5.14,24.79
2007.5.15,24.71
2007.5.16,24.82
2007.5.17,24.88
2007.5.18,24.83
2007.5.21,24.9
2007.5.22,24.91
2007.5.23,24.89
2007.5.24,24.93
2007.5.25,24.91
2007.5.29,24.92
2007.5.30,24.96
2007.5.31,24.92
2007.6.1,24.93
2007.6.4,24.83
2007.6.5,24.76
2007.6.6,24.8
2007.6.7,24.96
2007.6.8,25.04
2007.6.11,25.1
2007.6.12,25.1499
2007.6.13,25.2
2007.6.14,25.23
2007.6.15,25.09
2007.6.18,25.06
2007.6.19,25.07
2007.6.20,24.12
2007.6.21,25.1
2007.6.22,24.95
2007.6.25,25.03
2007.6.26,24.99
2007.6.27,25.03
2007.6.28,25.0299
2007.6.29,24.8811
2007.7.2,24.75
2007.7.3,24.71
2007.7.5,24.83
2007.7.6,24.7845
2007.7.9,24.79
2007.7.10,24.62
2007.7.11,24.59
2007.7.12,24.55
2007.7.13,24.574
2007.7.16,24.56
2007.7.17,24.56
2007.7.18,24.54
2007.7.19,24.53
2007.7.20,24.49
2007.7.23,24.54
2007.7.24,24.35
2007.7.25,24.56
2007.7.26,24.45
2007.7.27,24.65
2007.7.30,24.69
2007.7.31,24.65
2007.8.1,24.66
2007.8.2,24.7
2007.8.3,24.47
2007.8.6,24.52
2007.8.7,24.59
2007.8.8,24.52
2007.8.9,24.71
2007.8.10,24.73
2007.8.13,24.8
2007.8.14,24.96
2007.8.15,25.07
2007.8.16,25
2007.8.17,24.93
2007.8.20,24.99
2007.8.21,25.0001
2007.8.22,24.93
2007.8.23,24.89
2007.8.24,24.78
2007.8.27,24.76
2007.8.28,24.76
2007.8.29,24.736
2007.8.30,24.85
2007.8.31,24.79
2007.9.4,24.83
2007.9.5,24.736
2007.9.6,24.67
2007.9.7,24.53
2007.9.10,24.5
2007.9.11,24.53
2007.9.12,24.41
2007.9.13,24.48
2007.9.14,24.5399
2007.9.17,24.52
2007.9.18,24.44
2007.9.19,24.43
2007.9.20,24.246
2007.9.21,24.26
2007.9.24,24.25
2007.9.25,24.19
2007.9.26,24.27
2007.9.27,24.23
2007.9.28,24.0499
2007.10.1,24.08
2007.10.2,24.23
2007.10.3,24.304
2007.10.4,24.27
2007.10.5,24.23
2007.10.8,24.38
2007.10.9,24.29
2007.10.10,24.22
2007.10.11,24.24
2007.10.12,24.2
2007.10.15,24.17
2007.10.16,24.2
2007.10.17,24.19
2007.10.18,24.04
2007.10.19,23.99
2007.10.22,24.19
2007.10.23,24.04
2007.10.24,24
2007.10.25,23.95
2007.10.26,23.85
2007.10.29,23.81
2007.10.30,23.8579
2007.10.31,23.75
2007.11.1,23.83
2007.11.2,23.6
2007.11.5,23.72
2007.11.6,23.64
2007.11.7,23.52
2007.11.8,23.5
2007.11.9,23.5
2007.11.12,23.72
2007.11.13,23.63
2007.11.14,23.64
2007.11.15,23.7
2007.11.16,23.67
2007.11.19,23.6
2007.11.20,23.38
2007.11.21,23.26
2007.11.23,23.434
2007.11.26,23.31
2007.11.27,23.44
2007.11.28,23.51
2007.11.29,23.64
2007.11.30,23.82
2007.12.3,23.77
2007.12.4,23.6
2007.12.5,23.89
2007.12.6,23.88
2007.12.7,23.92
2007.12.10,23.75
2007.12.11,23.7
2007.12.12,23.7904
2007.12.13,23.87
2007.12.14,24.17
2007.12.17,24.17
2007.12.18,23.94
2007.12.19,24.01
2007.12.20,24.05
2007.12.21,24.11
2007.12.24,23.95
2007.12.26,23.86
2007.12.27,23.71
2007.12.28,23.55
2007.12.31,23.7
2008.1.2,23.49
2008.1.3,23.54
2008.1.4,23.29
2008.1.7,23.52
2008.1.8,23.49
2008.1.9,23.67
2008.1.10,23.44
2008.1.11,23.55
2008.1.14,23.43
2008.1.15,23.41
2008.1.16,23.7
2008.1.17,23.66
2008.1.18,23.73
2008.1.22,23.7674
2008.1.23,23.7
2008.1.24,23.5
2008.1.25,23.56
2008.1.28,23.41
2008.1.29,23.4
2008.1.30,23.26
2008.1.31,23.44
2008.2.1,23.53
2008.2.4,23.49
2008.2.5,23.74
2008.2.6,23.74
2008.2.7,23.97
2008.2.8,23.9
2008.2.11,23.85
2008.2.12,23.77
2008.2.13,23.81
2008.2.14,23.73
2008.2.15,23.73
2008.2.19,23.69
2008.2.20,23.7
2008.2.21,23.53
2008.2.22,23.26
2008.2.25,23.38
2008.2.26,23.22
2008.2.27,23.0699
2008.2.28,22.94
2008.2.29,22.95
2008.3.3,22.9
2008.3.4,22.962
2008.3.5,22.85
2008.3.6,22.73
2008.3.7,22.8
2008.3.10,22.73
2008.3.11,22.88
2008.3.12,22.48
2008.3.13,22.42
2008.3.14,22.4599
2008.3.17,22.27
2008.3.18,22.53
2008.3.19,22.55
2008.3.20,22.79
2008.3.24,23.13
2008.3.25,22.62
2008.3.26,22.3027
2008.3.27,22.34
2008.3.28,22.36
2008.3.31,22.4
2008.4.1,22.75
2008.4.2,22.53
2008.4.3,22.61
2008.4.4,22.3899
2008.4.7,22.55
2008.4.8,22.55
2008.4.9,22.4
2008.4.10,22.5
2008.4.11,22.42
2008.4.14,22.42
2008.4.15,22.45
2008.4.16,22.23
2008.4.17,22.35
2008.4.18,22.5
2008.4.21,22.33
2008.4.22,22.25
2008.4.23,22.4
2008.4.24,22.65
2008.4.25,22.71
2008.4.28,22.68
2008.4.29,22.77
2008.4.30,22.61
2008.5.1,22.8
2008.5.2,22.92
2008.5.5,22.81
2008.5.6,22.73
2008.5.7,22.8815
2008.5.8,22.88
2008.5.9,22.7299
2008.5.12,22.7
2008.5.13,22.8
2008.5.14,22.828
2008.5.15,22.81
2008.5.16,22.59
2008.5.19,22.71
2008.5.20,22.48
2008.5.21,22.32
2008.5.22,22.46
2008.5.23,22.33
2008.5.27,22.46
2008.5.28,22.56
2008.5.29,22.74
2008.5.30,22.71
2008.6.2,22.68
2008.6.3,22.8
2008.6.4,22.86
2008.6.5,22.75
2008.6.6,22.4866
2008.6.9,22.68
2008.6.10,22.92
2008.6.11,22.77
2008.6.12,22.96
2008.6.13,22.99
2008.6.16,22.89
2008.6.17,22.84
2008.6.18,22.82
2008.6.19,22.84
2008.6.20,22.69
2008.6.23,22.82
2008.6.24,22.76
2008.6.25,22.65
2008.6.26,22.51
2008.6.27,22.44
2008.6.30,22.49
2008.7.1,22.47
2008.7.2,22.36
2008.7.3,22.58
2008.7.7,22.56
2008.7.8,22.66
2008.7.9,22.5
2008.7.10,22.48
2008.7.11,22.33
2008.7.14,22.29
2008.7.15,22.27
2008.7.16,22.38
2008.7.17,22.42
2008.7.18,22.42
2008.7.21,22.34
2008.7.22,22.5
2008.7.23,22.59
2008.7.24,22.57
2008.7.25,22.6
2008.7.28,22.55
2008.7.29,22.74
2008.7.30,22.72
2008.7.31,22.72
2008.8.1,22.79
2008.8.4,22.8
2008.8.5,22.97
2008.8.6,23.04
2008.8.7,23.16
2008.8.8,23.53
2008.8.11,23.66
2008.8.12,23.61
2008.8.13,23.61
2008.8.14,23.75
2008.8.15,23.93
2008.8.18,23.86
2008.8.19,23.75
2008.8.20,23.82
2008.8.21,23.55
2008.8.22,23.79
2008.8.25,23.78
2008.8.26,23.92
2008.8.27,23.85
2008.8.28,23.93
2008.8.29,23.94
2008.9.2,24.17
2008.9.3,24.15
2008.9.4,24.34
2008.9.5,24.43
2008.9.8,24.56
2008.9.9,24.57
2008.9.10,24.73
2008.9.11,24.8
2008.9.12,24.33
2008.9.15,24.11
2008.9.16,24.46
2008.9.17,23.93
2008.9.18,24.03
2008.9.19,23.84
2008.9.22,23.3
2008.9.23,23.45
2008.9.24,23.68
2008.9.25,23.64
2008.9.26,23.641
2008.9.29,23.82
2008.9.30,24.44
2008.10.1,24.54
2008.10.2,24.88
2008.10.3,24.7799
2008.10.6,25.075
2008.10.7,24.9
2008.10.8,24.82
2008.10.9,24.95
2008.10.10,24.99
2008.10.13,24.97
2008.10.14,24.96
2008.10.15,25.25
2008.10.16,25.38
2008.10.17,25.42
2008.10.20,25.62
2008.10.21,26.04
2008.10.22,26.35
2008.10.23,26.2
2008.10.24,26.88
2008.10.27,26.88
2008.10.28,26.57
2008.10.29,26.14
2008.10.30,26.11
2008.10.31,26.5
2008.11.3,26.6299
2008.11.4,26.0701
2008.11.5,26.16
2008.11.6,26.53
2008.11.7,26.47
2008.11.10,26.49
2008.11.11,26.9
2008.11.12,26.96
2008.11.13,26.53
2008.11.14,26.75
2008.11.17,26.73
2008.11.18,26.81
2008.11.19,26.902
2008.11.20,27.08
2008.11.21,26.95
2008.11.24,26.29
2008.11.25,25.98
2008.11.26,26.27
2008.11.28,26.55
2008.12.1,26.7
2008.12.2,26.55
2008.12.3,26.59
2008.12.4,26.52
2008.12.5,26.63
2008.12.8,26.18
2008.12.9,26.2499
2008.12.10,26.1
2008.12.11,25.52
2008.12.12,25.46
2008.12.15,24.8503
2008.12.16,24.25
2008.12.17,23.96
2008.12.18,24.37
2008.12.19,24.742
2008.12.22,24.728
2008.12.23,24.71
2008.12.24,24.7
2008.12.26,24.57
2008.12.29,24.69
2008.12.30,24.58
2008.12.31,24.69
2009.1.2,24.9199
2009.1.5,25.19
2009.1.6,25.15
2009.1.7,24.99
2009.1.8,24.74
2009.1.9,25.12
2009.1.12,25.24
2009.1.13,25.529
2009.1.14,25.63
2009.1.15,25.62
2009.1.16,25.4
2009.1.20,26.13
2009.1.21,25.9
2009.1.22,25.88
2009.1.23,25.87
2009.1.26,25.53
2009.1.27,25.5
2009.1.28,25.59
2009.1.29,25.79
2009.1.30,25.95
2009.2.2,25.93
2009.2.3,25.61
2009.2.4,25.85
2009.2.5,25.93
2009.2.6,25.71
2009.2.9,25.54
2009.2.10,25.84
2009.2.11,25.88
2009.2.12,25.98
2009.2.13,25.9
2009.2.17,26.41
2009.2.18,26.53
2009.2.19,26.38
2009.2.20,26.01
2009.2.23,26.25
2009.2.24,26.11
2009.2.25,26.43
2009.2.26,26.41
2009.2.27,26.4776
2009.3.2,26.75
2009.3.3,26.74
2009.3.4,26.5901
2009.3.5,26.73
2009.3.6,26.6
2009.3.9,26.75
2009.3.10,26.6
2009.3.11,26.31
2009.3.12,26.182
2009.3.13,26.208
2009.3.16,26.129
2009.3.17,26.09
2009.3.18,25.254
2009.3.19,24.95
2009.3.20,25.16
2009.3.23,25.03
2009.3.24,25.31
2009.3.25,25.11
2009.3.26,25.27
2009.3.27,25.57
2009.3.30,25.7299
2009.3.31,25.64
2009.4.1,25.66
2009.4.2,25.32
2009.4.3,25.24
2009.4.6,25.36
2009.4.7,25.55
2009.4.8,25.56
2009.4.9,25.66
2009.4.13,25.32
2009.4.14,25.38
2009.4.15,25.42
2009.4.16,25.51
2009.4.17,25.77
2009.4.20,25.97
2009.4.21,25.91
2009.4.22,25.84
2009.4.23,25.55
2009.4.24,25.35
2009.4.27,25.65
2009.4.28,25.49
2009.4.29,25.31
2009.4.30,25.34
2009.5.1,25.28
2009.5.4,25.05
2009.5.5,25.13
2009.5.6,25.08
2009.5.7,25.08
2009.5.8,24.63
2009.5.11,24.76
2009.5.12,24.63
2009.5.13,24.72
2009.5.14,24.64
2009.5.15,24.81
2009.5.18,24.68
2009.5.19,24.55
2009.5.20,24.25
2009.5.21,24.09
2009.5.22,23.92
2009.5.26,23.97
2009.5.27,24.05
2009.5.28,24.07
2009.5.29,23.73
2009.6.1,23.67
2009.6.2,23.45
2009.6.3,23.8
2009.6.4,23.75
2009.6.5,24.16
2009.6.8,24.17
2009.6.9,23.86
2009.6.10,24
2009.6.11,23.76
2009.6.12,23.99
2009.6.15,24.43
2009.6.16,24.11
2009.6.17,23.97
2009.6.18,24.08
2009.6.19,23.97
2009.6.22,24.13
2009.6.23,23.85
2009.6.24,23.99
2009.6.25,23.97
2009.6.26,23.83
2009.6.29,23.81
2009.6.30,23.9
2009.7.1,23.78
2009.7.2,23.91
2009.7.6,23.948
2009.7.7,24.05
2009.7.8,24.02
2009.7.9,23.82
2009.7.10,23.88
2009.7.13,23.84
2009.7.14,23.86
2009.7.15,23.63
2009.7.16,23.61
2009.7.17,23.66
2009.7.20,23.5
2009.7.21,23.51
2009.7.22,23.47
2009.7.23,23.47
2009.7.24,23.44
2009.7.27,23.42
2009.7.28,23.49
2009.7.29,23.66
2009.7.30,23.63
2009.7.31,23.32
2009.8.3,23.13
2009.8.4,23.13
2009.8.5,23.1
2009.8.6,23.21
2009.8.7,23.48
2009.8.10,23.56
2009.8.11,23.58
2009.8.12,23.47
2009.8.13,23.36
2009.8.14,23.45
2009.8.17,23.59
2009.8.18,23.53
2009.8.19,23.38
2009.8.20,23.31
2009.8.21,23.23
2009.8.24,23.28
2009.8.25,23.28
2009.8.26,23.37
2009.8.27,23.24
2009.8.28,23.28
2009.8.31,23.26
2009.9.1,23.41
2009.9.2,23.32
2009.9.3,23.34
2009.9.4,23.25
2009.9.8,22.99
2009.9.9,22.91
2009.9.10,22.86
2009.9.11,22.81
2009.9.14,22.79
2009.9.15,22.71
2009.9.16,22.64
2009.9.17,22.68
2009.9.18,22.76
2009.9.21,22.84
2009.9.22,22.6
2009.9.23,22.7
2009.9.24,22.87
2009.9.25,22.81
2009.9.28,22.88
2009.9.29,22.92
2009.9.30,22.79
2009.10.1,22.95
2009.10.2,22.9
2009.10.5,22.77
2009.10.6,22.67
2009.10.7,22.69
2009.10.8,22.54
2009.10.9,22.72
2009.10.12,22.62
2009.10.13,22.57
2009.10.14,22.4
2009.10.15,22.41
2009.10.16,22.47
2009.10.19,22.36
2009.10.20,22.46
2009.10.21,22.32
2009.10.22,22.31
2009.10.23,22.43
2009.10.26,22.58
2009.10.27,22.638
2009.10.28,22.73
2009.10.29,22.57
2009.10.30,22.7
2009.11.2,22.62
2009.11.3,22.68
2009.11.4,22.51
2009.11.5,22.94
2009.11.6,22.83
2009.11.9,22.54
2009.11.10,22.44
2009.11.11,22.48
2009.11.12,22.8
2009.11.13,22.32
2009.11.16,22.22
2009.11.17,22.36
2009.11.18,22.28
2009.11.19,22.35
2009.11.20,22.44
2009.11.23,22.27
2009.11.24,22.29
2009.11.25,22.03
2009.11.27,22.26
2009.11.30,22.17
2009.12.1,22.07
2009.12.2,22.14
2009.12.3,22.15
2009.12.4,22.48
2009.12.7,22.48
2009.12.8,22.59
2009.12.9,22.5
2009.12.10,22.5
2009.12.11,22.68
2009.12.14,22.63
2009.12.15,22.79
2009.12.16,22.77
2009.12.17,23.01
2009.12.18,23.01
2009.12.21,23.08
2009.12.22,23.16
2009.12.23,23.03
2009.12.24,23.03
2009.12.28,22.97
2009.12.29,23.04
2009.12.30,23.04
2009.12.31,23.08
2010.1.4,22.92
2010.1.5,22.91
2010.1.6,22.85
2010.1.7,23
2010.1.8,22.84
2010.1.11,22.72
2010.1.12,22.72
2010.1.13,22.7
2010.1.14,22.64
2010.1.15,22.77
2010.1.19,22.84
2010.1.20,23.12
2010.1.21,23.12
2010.1.22,23.08
2010.1.25,23.05
2010.1.26,23.15
2010.1.27,23.23
2010.1.28,23.27
2010.1.29,23.45
2010.2.1,23.35
2010.2.2,23.27
2010.2.3,23.4
2010.2.4,23.55
2010.2.5,23.65
2010.2.8,23.64
2010.2.9,23.49
2010.2.10,23.56
2010.2.11,23.55
2010.2.12,23.63
2010.2.16,23.43
2010.2.17,23.65
2010.2.18,23.65
2010.2.19,23.72
2010.2.22,23.68
2010.2.23,23.81
2010.2.24,23.76
2010.2.25,23.71
2010.2.26,23.64
2010.3.1,23.72
2010.3.2,23.65
2010.3.3,23.51
2010.3.4,23.64
2010.3.5,23.63
2010.3.8,23.62
2010.3.9,23.66
2010.3.10,23.62
2010.3.11,23.57
2010.3.12,23.42
2010.3.15,23.55
2010.3.16,23.38
2010.3.17,23.39
2010.3.18,23.55
2010.3.19,23.71
2010.3.22,23.65
2010.3.23,23.73
2010.3.24,24.05
2010.3.25,24.13
2010.3.26,23.96
2010.3.29,23.84
2010.3.30,23.93
2010.3.31,23.8
2010.4.1,23.66
2010.4.5,23.78
2010.4.6,23.85
2010.4.7,23.9
2010.4.8,23.88
2010.4.9,23.7
2010.4.12,23.6
2010.4.13,23.6
2010.4.14,23.48
2010.4.15,23.57
2010.4.16,23.65
2010.4.19,23.69
2010.4.20,23.73
2010.4.21,23.78
2010.4.22,23.89
2010.4.23,23.84
2010.4.26,23.83
2010.4.27,24.12
2010.4.28,24.11
2010.4.29,24
2010.4.30,23.96
2010.5.3,24.11
2010.5.4,24.38
2010.5.5,24.61
2010.5.6,24.8119
2010.5.7,24.7
2010.5.10,24.64
2010.5.11,24.75
2010.5.12,24.82
2010.5.13,24.96
2010.5.14,25.19
2010.5.17,25.19
2010.5.18,25.46
2010.5.19,25.22
2010.5.20,25.09
2010.5.21,24.98
2010.5.24,25.23
2010.5.25,25.3
2010.5.26,25.47
2010.5.27,25.2
2010.5.28,25.34
2010.6.1,25.35
2010.6.2,25.34
2010.6.3,25.47
2010.6.4,25.77
2010.6.7,25.83
2010.6.8,25.75
2010.6.9,25.65
2010.6.10,25.38
2010.6.11,25.46
2010.6.14,25.23
2010.6.15,25.02
2010.6.16,25.1
2010.6.17,24.95
2010.6.18,24.94
2010.6.21,25.03
2010.6.22,25.07
2010.6.23,24.97
2010.6.24,24.97
2010.6.25,24.83
2010.6.28,24.96
2010.6.29,25.08
2010.6.30,25.06
