,N,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,토론실,Unnamed: 12
1,1.0,삼성전자,43950.0,100.0,-0.23%,100.0,4637815.0,2623719.0,588867.0,7.3,13.83,,
2,2.0,SK하이닉스,74400.0,600.0,+0.81%,5000.0,1673056.0,541634.0,208438.0,3.49,28.49,,
3,3.0,삼성전자우,36350.0,350.0,-0.95%,100.0,553133.0,299119.0,,6.03,,,
4,4.0,현대차,126000.0,2000.0,+1.61%,5000.0,252713.0,269222.0,24222.0,23.54,0.92,,
5,5.0,NAVER,148500.0,500.0,+0.34%,100.0,367244.0,244748.0,9425.0,37.72,7.02,,
9,6.0,LG화학,329500.0,9500.0,+2.97%,5000.0,176590.0,232602.0,22461.0,17.52,5.63,,
10,7.0,현대모비스,241500.0,1000.0,+0.42%,5000.0,134747.0,230166.0,20250.0,12.45,4.45,,
11,8.0,셀트리온,151500.0,1000.0,-0.66%,1000.0,424845.0,194430.0,3387.0,73.94,7.4,,
12,9.0,SK텔레콤,237000.0,500.0,-0.21%,500.0,109267.0,191367.0,12018.0,6.12,8.26,,
13,10.0,신한지주,40350.0,100.0,-0.25%,5000.0,562173.0,191340.0,44994.0,6.06,0.72,,
17,11.0,삼성바이오로직스,283500.0,2000.0,+0.71%,2500.0,100332.0,187578.0,557.0,83.7,3.41,,
18,12.0,POSCO,207500.0,1500.0,-0.72%,5000.0,166366.0,180913.0,55426.0,10.7,2.41,,
19,13.0,LG생활건강,1150000.0,1000.0,+0.09%,5000.0,14760.0,179609.0,10393.0,29.84,13.77,,
20,14.0,삼성물산,91200.0,2300.0,+2.59%,100.0,310514.0,172997.0,11039.0,10.19,3.82,,
21,15.0,기아차,42350.0,400.0,+0.95%,5000.0,603093.0,171671.0,11575.0,14.85,2.22,,
25,16.0,삼성SDI,246500.0,5000.0,+2.07%,5000.0,205524.0,169505.0,7150.0,24.74,4.25,,
26,17.0,한국전력,25600.0,350.0,-1.35%,5000.0,575077.0,164343.0,-2080.0,-12.5,-0.64,,
27,18.0,KB금융,39000.0,300.0,-0.76%,5000.0,502077.0,163063.0,42675.0,5.33,0.67,,
28,19.0,삼성에스디에스,196000.0,1000.0,-0.51%,500.0,41053.0,151660.0,8774.0,24.1,8.36,,
29,20.0,SK이노베이션,161500.0,3000.0,-1.82%,5000.0,113320.0,149332.0,21176.0,9.16,4.86,,
33,21.0,KT&G,101500.0,500.0,+0.50%,5000.0,162344.0,139352.0,12551.0,15.46,8.93,,
34,22.0,SK,197000.0,1500.0,-0.76%,200.0,84018.0,138610.0,46881.0,6.2,5.37,,
35,23.0,삼성생명,66300.0,300.0,-0.45%,500.0,156045.0,132600.0,25833.0,7.97,0.61,,
36,24.0,LG,70200.0,100.0,+0.14%,5000.0,114796.0,121135.0,19638.0,6.62,8.47,,
37,25.0,엔씨소프트,531000.0,8000.0,-1.48%,500.0,57823.0,116536.0,6149.0,27.86,13.03,,
41,26.0,카카오,133000.0,0.0,0.00%,500.0,302961.0,111156.0,729.0,216.97,0.22,,
42,27.0,삼성화재,227500.0,1000.0,-0.44%,500.0,47228.0,107778.0,14543.0,10.75,1.38,,
