Date,Open,High,Low,Close,Adj Close,Volume
1997-05-15,2.4375,2.5,1.927083,1.958333,1.958333,72156000
1997-05-16,1.96875,1.979167,1.708333,1.729167,1.729167,14700000
1997-05-19,1.760417,1.770833,1.625,1.708333,1.708333,6106800
1997-05-20,1.729167,1.75,1.635417,1.635417,1.635417,5467200
1997-05-21,,1.645833,1.375,1.427083,1.427083,18853200
1997-05-22,1.4375,1.447917,1.3125,1.395833,1.395833,11776800
1997-05-23,1.40625,1.520833,1.333333,1.5,1.5,15937200
1997-05-27,1.510417,,1.458333,1.583333,1.583333,8697600
1997-05-28,1.625,1.635417,1.53125,1.53125,1.53125,4574400
1997-05-29,1.541667,1.541667,1.479167,1.505208,1.505208,3472800
1997-05-30,1.5,1.510417,1.479167,1.5,1.5,2594400
1997-06-02,1.510417,1.53125,,1.510417,1.510417,591600
1997-06-03,1.53125,1.53125,1.479167,1.479167,1.479167,1183200
1997-06-04,1.479167,1.489583,1.395833,1.416667,1.416667,3080400
1997-06-05,1.416667,1.541667,1.375,1.541667,1.541667,5672400
1997-06-06,1.515625,1.708333,1.510417,1.65625,1.65625,7807200
1997-06-09,1.65625,1.708333,1.65625,1.6875,1.6875,2352000
1997-06-10,1.708333,1.708333,1.53125,1.583333,1.583333,5458800
1997-06-11,1.59375,1.604167,1.53125,,1.541667,1188000
1997-06-12,1.583333,1.645833,1.552083,1.604167,1.604167,1632000
1997-06-13,1.625,1.625,1.583333,1.583333,1.583333,693600
1997-06-16,1.604167,1.604167,1.5625,1.572917,1.572917,913200
1997-06-17,1.598958,1.598958,1.494792,1.505208,1.505208,4706400
1997-06-18,1.520833,1.536458,1.5,1.510417,1.510417,2464800
1997-06-19,1.510417,1.53125,1.5,1.510417,,1003200
1997-06-20,1.53125,1.552083,1.5,1.526042,1.526042,3387600
1997-06-23,1.541667,1.541667,1.479167,1.5,1.5,1047600
1997-06-24,1.505208,1.526042,1.479167,1.510417,1.510417,
1997-06-25,1.526042,1.526042,1.489583,1.510417,1.510417,2106000
1997-06-26,1.520833,1.520833,1.505208,1.510417,1.510417,3189600
1997-06-27,1.515625,1.515625,1.479167,1.489583,1.489583,1188000
1997-06-30,1.510417,1.598958,1.479167,1.541667,1.541667,2746800
1997-07-01,1.541667,1.541667,1.510417,1.515625,1.515625,1292400
1997-07-02,1.515625,1.59375,1.510417,1.588542,1.588542,3882000
1997-07-03,1.598958,1.916667,1.59375,1.911458,1.911458,12577200
1997-07-07,1.833333,2.020833,1.833333,2,2,8053200
1997-07-08,2.041667,2.333333,2.041667,2.302083,2.302083,15517200
1997-07-09,2.302083,2.385417,2.270833,2.322917,2.322917,8262000
1997-07-10,2.333333,2.572917,2.333333,2.5625,2.5625,9051600
1997-07-11,2.520833,2.520833,2.208333,2.291667,2.291667,10531200
1997-07-14,2.322917,2.333333,2.114583,2.135417,2.135417,4604400
1997-07-15,2.135417,2.479167,2.135417,2.4375,2.4375,9274800
1997-07-16,2.447917,2.494792,2.302083,2.333333,2.333333,3024000
1997-07-17,2.34375,2.34375,2.15625,2.21875,2.21875,3169200
1997-07-18,2.1875,2.21875,2.15625,2.15625,2.15625,780000
1997-07-21,2.177083,2.197917,2.145833,2.182292,2.182292,574800
1997-07-22,2.166667,2.1875,2.0625,2.135417,2.135417,1563600
1997-07-23,2.1875,2.333333,2.177083,2.291667,2.291667,3259200
1997-07-24,2.302083,2.3125,2.21875,2.260417,2.260417,1216800
1997-07-25,2.21875,2.25,2.21875,2.229167,2.229167,620400
1997-07-28,2.229167,2.395833,2.21875,2.322917,2.322917,2574000
1997-07-29,2.364583,2.5,2.333333,2.479167,2.479167,4814400
1997-07-30,2.5,2.505208,2.427083,2.447917,2.447917,2517600
1997-07-31,2.4375,2.4375,2.333333,2.395833,2.395833,1454400
1997-08-01,2.34375,2.416667,2.25,2.416667,2.416667,3588000
1997-08-04,2.375,2.411458,2.302083,2.3125,2.3125,2671200
1997-08-05,2.333333,2.333333,2.145833,2.208333,2.208333,3032400
1997-08-06,2.208333,2.3125,2.1875,2.25,2.25,1243200
1997-08-07,2.25,2.260417,2.125,2.177083,2.177083,2034000
1997-08-08,2.166667,2.302083,2.104167,2.291667,2.291667,2211600
1997-08-11,2.291667,2.333333,2.25,2.328125,2.328125,1239600
1997-08-12,2.28125,2.302083,2.197917,2.197917,2.197917,571200
1997-08-13,2.229167,2.229167,2.166667,2.197917,2.197917,590400
1997-08-14,2.177083,2.25,2.119792,2.15625,2.15625,1041600
1997-08-15,2.135417,2.15625,1.9375,2.114583,2.114583,1597200
1997-08-18,2.052083,2.052083,1.96875,2.041667,2.041667,1784400
1997-08-19,2.09375,2.208333,2.052083,2.166667,2.166667,1003200
1997-08-20,2.1875,2.1875,2.072917,2.166667,2.166667,999600
1997-08-21,2.135417,2.171875,2.072917,2.114583,2.114583,624000
1997-08-22,2.104167,2.125,2.09375,2.125,2.125,712800
1997-08-25,2.104167,2.260417,2.104167,2.21875,2.21875,1126800
1997-08-26,2.239583,2.354167,2.229167,2.34375,2.34375,2574000
1997-08-27,2.307292,2.322917,2.25,2.317708,2.317708,1392000
1997-08-28,2.302083,2.395833,2.28125,2.375,2.375,1147200
1997-08-29,2.364583,2.375,2.322917,2.338542,2.338542,722400
1997-09-02,2.34375,2.375,2.333333,2.354167,2.354167,732000
1997-09-03,2.34375,2.416667,2.3125,2.333333,2.333333,1964400
1997-09-04,2.364583,2.552083,2.34375,2.552083,2.552083,3348000
1997-09-05,2.583333,2.666667,2.458333,2.5,2.5,1908000
1997-09-08,2.53125,3.020833,2.5,3,3,5648400
1997-09-09,3.140625,3.385417,3.026042,3.239583,3.239583,8971200
1997-09-10,3.3125,3.328125,3.125,3.302083,3.302083,3866400
1997-09-11,3.333333,3.333333,3.041667,3.15625,3.15625,4262400
1997-09-12,3.1875,3.697917,3.15625,3.6875,3.6875,3333600
1997-09-15,3.666667,3.677083,3.052083,3.09375,3.09375,5583600
1997-09-16,3.125,3.541667,3.119792,3.354167,3.354167,6432000
1997-09-17,3.458333,3.5,3.333333,3.40625,3.40625,2607600
1997-09-18,3.4375,3.46875,3.28125,3.291667,3.291667,2128800
1997-09-19,3.380208,4.083333,3.375,3.947917,3.947917,8929200
1997-09-22,4,4.677083,3.947917,4.5,4.5,16938000
1997-09-23,4.489583,4.645833,4.395833,4.625,4.625,7682400
1997-09-24,4.645833,4.8125,4.291667,4.375,4.375,8200800
1997-09-25,4.34375,4.354167,4.052083,4.078125,4.078125,4968000
1997-09-26,4.072917,4.260417,4.052083,4.166667,4.166667,2731200
1997-09-29,4.145833,4.1875,3.958333,4.041667,4.041667,2371200
1997-09-30,4,4.348958,3.802083,4.338542,4.338542,5254800
1997-10-01,4.4375,4.5,3.9375,4.020833,4.020833,4999200
1997-10-02,4.041667,4.177083,3.989583,4.010417,4.010417,1876800
1997-10-03,4.083333,4.125,3.979167,4.015625,4.015625,1164000
1997-10-06,4,4.125,3.942708,4.125,4.125,2028000
1997-10-07,4.083333,4.1875,4.041667,4.057292,4.057292,1742400
1997-10-08,4.145833,4.166667,3.984375,4.005208,4.005208,2806800
1997-10-09,4,4.020833,3.739583,3.75,3.75,3950400
1997-10-10,3.729167,4.0625,3.666667,3.901042,3.901042,3787200
1997-10-13,3.927083,4.041667,3.927083,4,4,814800
1997-10-14,4.0625,4.104167,3.833333,3.979167,3.979167,1546800
1997-10-15,3.96875,3.96875,3.770833,3.921875,3.921875,2355600
1997-10-16,3.979167,3.979167,3.604167,3.625,3.625,3481200
1997-10-17,3.614583,3.65625,3.520833,3.625,3.625,2534400
1997-10-20,3.677083,3.875,3.666667,3.822917,3.822917,4912800
1997-10-21,3.958333,4.4375,3.854167,4.427083,4.427083,12096000
1997-10-22,4.416667,4.619792,4.375,4.520833,4.520833,5208000
1997-10-23,4.229167,4.5625,4.1875,4.5,4.5,5656800
1997-10-24,4.75,5.0625,4.541667,5.026042,5.026042,9492000
1997-10-27,4.802083,5.010417,4.229167,4.270833,4.270833,6091200
1997-10-28,3.916667,5,3.875,4.947917,4.947917,11719200
1997-10-29,5.145833,5.5,5,5.390625,5.390625,7126800
1997-10-30,5.208333,5.354167,5.041667,5.125,5.125,4770000
1997-10-31,5.364583,5.458333,4.96875,5.083333,5.083333,5026800
1997-11-03,5.21875,5.21875,4.947917,5.072917,5.072917,1999200
1997-11-04,5,5.052083,4.822917,4.958333,4.958333,2365200
1997-11-05,4.979167,5.119792,4.875,4.875,4.875,3093600
1997-11-06,4.916667,4.916667,4.635417,4.661458,4.661458,2913600
1997-11-07,4.416667,4.640625,4.385417,4.479167,4.479167,2626800
1997-11-10,4.5,4.5625,4.208333,4.208333,4.208333,2764800
1997-11-11,4.244792,4.3125,3.916667,3.947917,3.947917,4312800
1997-11-12,3.776042,4.1875,3.666667,3.770833,3.770833,8683200
1997-11-13,3.947917,3.96875,3.770833,3.859375,3.859375,4290000
1997-11-14,3.9375,4.208333,3.78125,4.166667,4.166667,5869200
1997-11-17,4.229167,4.541667,4.21875,4.375,4.375,7394400
1997-11-18,4.375,4.479167,4.34375,4.416667,4.416667,1866000
1997-11-19,4.40625,4.520833,4.3125,4.510417,4.510417,2534400
1997-11-20,4.572917,4.604167,4.510417,4.583333,4.583333,5923200
1997-11-21,4.552083,4.583333,4.489583,4.489583,4.489583,2602800
1997-11-24,4.375,4.416667,4.229167,4.229167,4.229167,2019600
