Date,Open,High,Low,Close,Adj Close,Volume
2006-04-10,68.250000,68.500000,67.669998,68.019997,68.019997,3877900
2006-04-11,68.320000,68.389999,67.300003,68.199997,68.199997,1297100
2006-04-12,68.220001,68.809998,67.809998,67.839996,67.839996,1248300
2006-04-13,67.500000,68.989998,67.400002,68.820000,68.820000,560700
2006-04-17,69.199997,69.900002,68.680000,69.790001,69.790001,917700
2006-04-18,70.099998,71.050003,69.570000,70.750000,70.750000,922700
2006-04-19,70.580002,72.160004,70.489998,71.849998,71.849998,789800
2006-04-20,71.919998,72.160004,70.510002,71.089996,71.089996,843200
2006-04-21,70.889999,73.230003,70.800003,72.809998,72.809998,1065800
2006-04-24,71.400002,72.449997,70.790001,71.010002,71.010002,1042300
2006-04-25,71.680000,71.809998,69.620003,70.639999,70.639999,2853900
2006-04-26,70.440002,70.849998,69.449997,69.540001,69.540001,899200
2006-04-27,69.099998,69.580002,68.570000,68.699997,68.699997,635600
2006-04-28,69.260002,70.500000,68.989998,69.620003,69.620003,868100
2006-05-01,70.150002,71.650002,70.000000,71.500000,71.500000,555500
2006-05-02,71.839996,72.690002,71.339996,72.339996,72.339996,871000
2006-05-03,72.480003,72.480003,70.000000,70.220001,70.220001,1015000
2006-05-04,69.370003,69.769997,67.279999,68.320000,68.320000,1557500
2006-05-05,68.300003,68.470001,67.680000,68.000000,68.000000,671200
2006-05-08,67.129997,67.989998,66.300003,67.879997,67.879997,1312300
2006-05-09,67.989998,69.180000,67.760002,68.400002,68.400002,783000
2006-05-10,68.320000,69.769997,67.480003,69.769997,69.769997,704500
2006-05-11,71.000000,71.050003,69.919998,70.300003,70.300003,1035500
2006-05-12,70.440002,70.440002,69.040001,69.110001,69.110001,607600
2006-05-15,67.470001,67.769997,66.449997,66.629997,66.629997,669900
2006-05-16,67.070000,67.900002,66.309998,66.699997,66.699997,802000
2006-05-17,66.669998,66.750000,65.389999,65.699997,65.699997,822700
2006-05-18,65.680000,66.790001,65.099998,66.739998,66.739998,656700
2006-05-19,66.000000,66.459999,65.150002,65.570000,65.570000,812100
2006-05-22,64.889999,66.570000,64.889999,66.279999,66.279999,769700
2006-05-23,67.250000,68.419998,67.209999,67.769997,67.769997,630900
2006-05-24,67.209999,67.930000,66.050003,66.099998,66.099998,400700
2006-05-25,66.680000,67.879997,66.309998,67.800003,67.800003,300300
2006-05-26,67.459999,68.230003,67.330002,67.750000,67.750000,269500
2006-05-30,68.720001,69.080002,68.220001,68.320000,68.320000,489400
2006-05-31,67.639999,67.910004,66.580002,67.730003,67.730003,471700
2006-06-01,66.839996,68.250000,66.510002,66.820000,66.820000,922800
2006-06-02,67.760002,69.150002,67.550003,68.900002,68.900002,443500
2006-06-05,69.690002,69.779999,68.440002,68.739998,68.739998,393200
2006-06-06,68.089996,68.949997,67.800003,68.760002,68.760002,179800
2006-06-07,68.269997,68.330002,67.010002,67.279999,67.279999,360000
2006-06-08,66.529999,67.120003,65.809998,67.120003,67.120003,308300
2006-06-09,67.500000,68.199997,67.500000,68.070000,68.070000,342000
2006-06-12,68.389999,68.389999,66.860001,67.080002,67.080002,213200
2006-06-13,65.940002,66.230003,65.129997,65.180000,65.180000,602700
2006-06-14,65.510002,65.910004,65.000000,65.790001,65.790001,333400
2006-06-15,66.349998,66.519997,65.949997,66.160004,66.160004,308700
2006-06-16,65.970001,66.470001,65.250000,66.250000,66.250000,218700
